frame_number,object_class,confidence_score,x1,y1,x2,y2
95,63,0.7354086637496948,346.32092,221.65236,567.6786,316.0978
96,63,0.8133742213249207,351.0938,221.2381,567.65784,316.18997
97,63,0.757398784160614,355.11417,220.71933,567.7054,315.96155
98,63,0.7559678554534912,359.03568,218.74864,567.5871,316.85303
99,63,0.6217865347862244,362.49072,216.91396,567.51886,317.0877
100,63,0.5665178894996643,366.614,213.25493,567.5754,317.61124
101,63,0.5374093651771545,370.0095,210.41519,567.52234,317.8917
102,63,0.5605576038360596,373.67706,207.08022,567.6558,316.9051
103,63,0.7761380076408386,375.7664,204.5499,567.41614,317.19772
104,63,0.6687452793121338,378.9839,199.6413,567.4945,314.54718
105,63,0.7419676780700684,381.59177,195.47336,567.55273,313.22174
106,63,0.7303940653800964,384.26898,190.12076,567.56,314.50064
107,63,0.6007845997810364,387.22528,184.01897,567.48334,302.47998
108,63,0.6950440406799316,390.1363,178.75786,567.8808,292.928
109,63,0.5672023296356201,392.32962,174.46854,567.6427,310.3437
110,63,0.4848693311214447,396.01733,169.28574,567.5108,313.22922
111,63,0.4474065601825714,400.42685,164.16307,567.6406,313.3131
112,63,0.7324122786521912,404.35098,160.14941,567.84784,266.89145
113,63,0.7010245323181152,408.94208,155.08916,567.83923,263.33313
114,63,0.6907775402069092,413.58615,151.02342,567.60315,260.22745
115,63,0.552034854888916,416.74258,148.4118,567.8615,256.75543
116,63,0.7144584655761719,417.8482,144.88925,567.67255,295.3751
117,63,0.7717957496643066,419.54987,142.64471,567.6181,292.2902
118,63,0.6853735446929932,422.5207,139.58554,567.764,286.2053
119,63,0.7090221047401428,424.61755,136.37198,567.7141,282.58685
120,63,0.7545198798179626,426.2153,133.72978,567.6632,280.3691
121,63,0.6989384889602661,427.89627,129.07854,567.8764,278.59384
122,63,0.573448657989502,430.94293,125.71106,567.6308,273.7744
123,63,0.5029832720756531,433.86575,122.667404,567.66736,269.52856
124,63,0.6267325282096863,436.2605,120.397385,567.7457,266.03162
125,63,0.6812179684638977,439.2004,116.32252,567.646,263.25375
126,63,0.6867817044258118,441.36917,114.748505,567.58484,258.1277
127,63,0.6408399939537048,442.0461,110.84788,567.61487,253.16869
128,63,0.7244048118591309,442.61462,107.36875,567.6091,250.11397
129,63,0.7281891703605652,443.1421,103.419044,567.54755,246.63052
130,63,0.7360820770263672,443.19434,99.84762,567.792,245.26509
131,63,0.7634702920913696,443.14297,97.1696,567.57965,239.72707
132,63,0.7350887656211853,441.29254,94.643555,567.6883,239.7207
133,63,0.7367784380912781,439.78583,93.87045,567.6688,238.48747
134,63,0.6426826119422913,438.0264,93.49445,567.7526,238.81915
135,63,0.7429801225662231,435.4736,91.90833,567.8178,238.43166
136,63,0.8243008255958557,433.26236,90.77951,567.64105,238.81108
137,63,0.8432655334472656,431.26688,89.83993,567.64923,238.26628
138,63,0.8359253406524658,429.30096,87.53851,567.8111,236.66684
139,63,0.8361116647720337,427.3869,86.629425,567.6622,236.48117
140,63,0.7474859952926636,426.25604,85.675446,567.65436,236.0678
141,63,0.7242433428764343,426.1268,83.67091,567.6201,235.30727
142,63,0.6940575242042542,425.8703,80.4584,567.5872,233.71373
143,63,0.7976856827735901,424.58023,78.52411,567.6658,229.4486
144,63,0.7708709836006165,423.6981,73.95472,567.5876,228.34488
145,63,0.7312001585960388,420.39526,69.010735,567.82306,225.50316
146,63,0.6498218774795532,420.33115,64.16028,567.7703,221.20996
147,63,0.5464311242103577,419.6673,58.072067,567.8392,217.16484
148,63,0.5727505087852478,420.1967,53.5689,567.68896,213.01697
148,63,0.26166832447052,421.67212,52.13444,567.573,164.68005
149,63,0.6146165132522583,419.767,44.763874,567.8013,209.90636
149,63,0.5161791443824768,422.28162,46.316647,567.7938,160.83784
150,63,0.663047730922699,421.0527,38.643192,567.78595,201.90036
150,63,0.3057534098625183,423.09824,38.78625,567.70557,154.39227
151,63,0.7821279764175415,424.3572,33.101883,567.647,195.89052
152,63,0.5253141522407532,425.72025,27.84229,567.75006,191.76688
153,63,0.5002355575561523,428.8426,22.17068,567.7478,188.32271
154,63,0.4371992349624634,432.7582,15.66728,567.76697,134.9088
154,63,0.2534787654876709,430.30396,15.737998,567.8965,183.57143
155,63,0.4315560758113861,437.3915,13.413754,567.6323,180.12767
156,63,0.502767026424408,441.3303,9.82455,567.82416,132.71173
157,63,0.5708701610565186,446.41904,7.4418044,567.588,156.51218
158,63,0.6214054226875305,451.56546,7.546553,567.74084,153.97038
159,63,0.7250562310218811,455.67804,7.3531437,567.70197,147.07008
160,63,0.5760251879692078,462.97836,6.533341,567.6844,144.96187
160,9,0.25356486439704895,249.07623,99.3997,387.04684,230.93246
161,63,0.5466694235801697,469.5915,5.9554424,567.82336,139.32404
162,63,0.41118523478507996,475.71915,3.6846225,567.7165,135.54332
162,9,0.2598714828491211,257.3946,98.37664,395.00992,231.93973
163,63,0.451559841632843,480.9069,1.6709148,567.7762,136.63329
163,9,0.4028894007205963,257.58475,97.80275,400.13107,232.03764
164,63,0.3451945185661316,485.62878,1.1382333,567.79944,128.72499
165,63,0.3203844428062439,489.21124,0.4293411,567.8671,106.059875
165,9,0.31943705677986145,264.38522,95.705376,402.7622,230.10707
166,63,0.49988749623298645,492.78815,0.9503458,567.8812,105.82217
166,9,0.4328037202358246,276.19888,96.78633,404.87555,230.86174
167,63,0.5644100904464722,495.50427,0.7029743,567.7073,103.18509
167,9,0.30667829513549805,274.97055,96.485695,405.15723,230.98563
168,63,0.5686010718345642,496.7526,0.7956434,567.70526,102.768936
168,9,0.31913796067237854,275.36194,95.17947,405.40994,231.2588
169,63,0.5563967227935791,496.76093,0.92966014,567.70514,103.28079
169,9,0.37840479612350464,269.398,96.573364,403.3988,232.49956
170,63,0.4919542968273163,495.36865,1.2719623,567.8858,107.531136
170,9,0.32963719964027405,265.16696,96.41195,401.0013,234.11295
171,63,0.5729740858078003,492.8658,1.912629,567.7703,131.68362
171,9,0.5291830897331238,253.7481,98.52831,398.94388,235.93448
172,63,0.6272475719451904,491.08865,3.1352978,567.7494,134.43733
172,9,0.26493239402770996,255.77176,101.26446,395.12442,239.28627
173,63,0.6455697417259216,489.11832,5.460855,567.72034,141.19827
173,63,0.3142208755016327,351.19046,86.60195,470.5538,160.82626
173,9,0.28142663836479187,260.82446,103.51961,390.18774,243.13986
173,0,0.27513134479522705,308.91574,0.0,368.7063,119.85181
174,63,0.5621412992477417,486.55692,7.969028,567.71375,147.51721
175,63,0.6798331141471863,482.7926,10.417562,567.7105,150.95177
176,63,0.6706921458244324,481.56503,12.219361,567.8068,156.3424
177,63,0.7249235510826111,480.01657,13.616061,567.80066,161.04327
178,63,0.7817954421043396,478.46942,14.014634,567.78546,162.53148
178,56,0.28497254848480225,236.33197,115.166176,373.6609,253.36626
179,63,0.796596884727478,477.5206,13.438875,567.7836,163.29654
179,56,0.3593708276748657,237.19986,114.045586,372.4071,252.86842
180,63,0.780911386013031,477.7881,12.137256,567.7963,162.80235
180,56,0.5475838780403137,218.62617,112.41928,371.48032,250.73703
181,63,0.7300617694854736,477.83347,9.240191,567.8092,158.74857
182,63,0.6137996315956116,478.04007,6.712531,567.8204,155.06795
182,28,0.2807673215866089,96.834595,44.50503,288.3189,164.1064
183,63,0.6403488516807556,478.325,2.2764938,567.83673,151.68701
183,9,0.3259511888027191,224.03328,100.30261,367.00204,242.12355
184,63,0.5934001207351685,478.68088,1.0520916,567.7297,149.17094
184,9,0.3870185911655426,232.07135,94.71172,367.65225,235.83272
185,63,0.663834810256958,478.22726,0.8669294,567.7429,144.586
186,63,0.6533565521240234,477.45856,0.768708,567.7399,142.01309
187,63,0.677574872970581,475.58298,0.60675716,567.73346,140.87402
188,63,0.6269447207450867,474.26797,0.5404682,567.73456,142.36305
189,63,0.5867822766304016,471.93927,0.2538616,567.6556,148.40718
190,63,0.5175968408584595,469.8287,0.38359565,567.73016,149.57349
191,63,0.5794069170951843,467.23965,0.626461,567.6083,153.89275
192,63,0.5414465069770813,462.6229,0.6156408,567.695,160.52628
192,64,0.25008681416511536,165.82396,80.53656,233.96605,128.1681
193,63,0.40184640884399414,458.29224,0.75085944,567.7093,164.97763
193,64,0.25594308972358704,162.02145,81.16582,229.44621,125.52369
194,63,0.4442249834537506,453.82605,0.59658694,567.7092,161.7424
195,63,0.591331958770752,448.24963,1.0511978,567.6401,182.91965
196,63,0.634691059589386,444.4518,1.3031363,567.4945,181.93208
197,63,0.5585520267486572,439.6595,1.2525699,567.72046,185.77632
198,63,0.44623759388923645,436.8619,1.3333354,567.7705,187.07968
199,63,0.5227704048156738,430.71075,1.3298821,567.8134,183.84616
200,63,0.5891019701957703,425.31662,1.0794196,567.7811,191.59502
201,63,0.546369194984436,422.63043,1.2989112,567.55096,190.8414
202,63,0.6492451429367065,417.3436,1.1396823,567.55273,189.58522
203,63,0.6394823789596558,413.57736,1.2700529,567.50574,189.79984
204,63,0.5237529277801514,410.36014,1.0688432,567.51013,188.72763
204,67,0.33722206950187683,409.77716,0.26495266,567.75323,190.14722
205,63,0.6902502775192261,406.5255,1.1777087,567.47327,188.86919
206,63,0.5057590007781982,402.10944,1.2374974,567.49133,187.80836
206,67,0.36915117502212524,402.19925,0.8293228,567.75635,188.80269
207,67,0.41128009557724,400.09967,0.75886285,567.7392,187.65804
207,63,0.34860506653785706,399.81705,1.0737319,567.74695,186.05424
208,63,0.32267895340919495,397.0199,1.1518025,567.60614,187.92331
209,63,0.4014217257499695,394.22598,1.3250747,567.61945,186.82895
210,63,0.4115131199359894,390.136,1.2703508,567.5875,186.98314
211,63,0.7454846501350403,388.05887,1.4290786,567.53125,188.48549
212,63,0.6627945303916931,384.79346,1.5946046,567.47736,188.54411
212,63,0.27360546588897705,236.79846,70.137054,371.05997,156.57199
213,63,0.7378300428390503,382.86935,1.4282255,567.6832,189.21722
214,63,0.677013099193573,381.33734,1.3532019,567.7183,184.54738
215,63,0.584814727306366,378.93906,1.384877,567.7755,189.24948
216,63,0.6607014536857605,376.03302,1.1599414,567.603,190.1102
217,63,0.512834370136261,373.93958,1.2390548,567.78143,189.61647
218,63,0.5378751754760742,372.31708,1.3836582,567.7183,156.09634
219,63,0.557755172252655,370.38354,1.5510936,567.7832,188.87325
220,63,0.5824100971221924,368.68924,1.619617,567.7968,192.29544
221,63,0.5960724949836731,367.45508,1.5438215,567.761,190.5935
222,63,0.5954950451850891,366.4298,1.1487691,567.7365,190.42561
223,63,0.5674926042556763,365.28497,1.1943386,567.6896,184.3565
224,63,0.5603557825088501,363.59628,1.2085443,567.7798,191.18585
225,63,0.6581057906150818,361.79608,1.0488279,567.54987,192.35504
226,63,0.519749104976654,360.16074,1.0020262,567.64874,193.83994
227,63,0.4939892888069153,359.1578,0.91757715,567.4263,144.50288
228,63,0.4361822307109833,357.07697,1.5079212,567.8125,195.34859
229,63,0.42278945446014404,354.73434,1.5100203,567.7315,194.71527
230,63,0.7679591178894043,352.40005,1.3969295,567.58154,144.29648
231,63,0.6159247159957886,349.04144,1.1819745,567.6075,146.82208
232,63,0.8170405030250549,345.94336,1.3862312,567.5683,146.33853
233,63,0.7395892143249512,342.75983,1.6143898,567.42426,148.84247
234,63,0.8397042751312256,339.4208,1.2112933,567.4855,146.55708
235,63,0.721836268901825,335.17776,1.0504123,567.0866,147.50803
236,63,0.7869850397109985,331.56644,1.1591696,567.3206,145.99641
237,63,0.7797952890396118,326.9691,1.3613949,567.30554,145.25676
238,63,0.7550002336502075,321.64725,1.2893369,567.3441,144.85928
239,63,0.7777664065361023,317.22794,1.2784219,567.28613,145.10071
240,63,0.7310699820518494,311.32175,0.9486293,567.31494,144.61015
241,63,0.718841552734375,306.1408,1.140996,567.821,145.48065
242,63,0.7296972274780273,300.4885,1.2613723,567.8169,146.09167
